,price,livingAreaSqFt,median_zip,zip_rank,avgSchoolRating,pr_sf
417,951759.0,4326.0,585276.0,30,8.666666666666666,220.01
418,400548.0,1844.0,287568.0,4,3.6666666666666665,217.22
419,800948.0,3371.0,541080.0,26,8.0,237.6
420,229711.0,2126.0,451466.0,20,8.333333333333334,108.05
421,276999.0,1652.0,325080.0,8,2.6666666666666665,167.67
422,242550.0,1569.0,230108.0,2,3.0,154.59
423,1095421.0,3883.0,646176.0,32,5.666666666666668,282.11
424,558130.0,2746.0,585276.0,30,8.666666666666666,203.25
425,761085.0,3033.0,653543.0,33,9.0,250.93
426,366336.0,2015.0,451466.0,20,8.333333333333334,181.8
427,349101.0,1891.0,287568.0,4,3.6666666666666665,184.61
428,541887.0,1953.0,548501.0,27,7.0,277.46
429,487011.0,2825.0,653543.0,33,7.666666666666668,172.39
430,438161.0,2570.0,287568.0,4,3.6666666666666665,170.49
431,242891.0,1626.0,451466.0,20,8.333333333333334,149.38
432,270528.0,2502.0,325080.0,8,2.6666666666666665,108.12
433,269481.0,1442.0,280777.0,3,3.6666666666666665,186.88
434,162514.0,1898.0,230108.0,2,3.0,85.62
435,695597.0,3675.0,789000.0,37,8.0,189.28
436,859149.0,2878.0,548501.0,27,8.666666666666666,298.52
437,603517.0,3181.0,541080.0,26,8.0,189.73
438,489419.0,2868.0,451466.0,20,8.333333333333334,170.65
439,350165.0,3071.0,548501.0,27,7.0,114.02
440,312902.0,1891.0,280777.0,3,3.6666666666666665,165.47
441,318240.0,1535.0,325080.0,8,3.6666666666666665,207.32
442,1329303.0,3427.0,820176.0,38,7.0,387.89
443,623569.0,1686.0,789000.0,37,8.0,369.85
444,417663.0,2289.0,287568.0,4,3.6666666666666665,182.47
445,1414485.0,2500.0,1022880.0,40,9.0,565.79
446,351385.0,2269.0,653543.0,33,9.0,154.86
447,580616.0,2698.0,548501.0,27,7.0,215.2
448,415090.0,2739.0,541080.0,26,8.0,151.55
449,377270.0,2192.0,280777.0,3,3.6666666666666665,172.11
450,359662.0,1865.0,325080.0,8,3.0,192.85
451,1336655.0,4183.0,646176.0,32,5.666666666666668,319.54
452,226037.0,1986.0,230108.0,2,3.0,113.82
453,414744.0,2471.0,451466.0,20,8.333333333333334,167.84
454,454297.0,2526.0,280777.0,3,3.6666666666666665,179.85
455,340619.0,1772.0,287568.0,4,3.6666666666666665,192.22
456,527580.0,2294.0,653543.0,33,7.0,229.98
457,1411820.0,3533.0,646176.0,32,5.666666666666668,399.61
458,356008.0,1837.0,451466.0,20,8.333333333333334,193.8
459,150314.0,1378.0,230108.0,2,3.0,109.08
460,815714.0,3149.0,653543.0,33,8.666666666666666,259.04
461,626892.0,3818.0,585276.0,30,8.333333333333334,164.19
462,514073.0,3854.0,541080.0,26,8.0,133.39
463,323756.0,2573.0,280777.0,3,3.6666666666666665,125.83
464,410806.0,2457.0,287568.0,4,3.6666666666666665,167.2
465,822375.0,2844.0,653543.0,33,7.0,289.16
466,539743.0,3051.0,451466.0,20,7.666666666666668,176.91
467,670071.0,2538.0,585276.0,30,8.333333333333334,264.02
468,199447.0,1467.0,230108.0,2,3.0,135.96
469,938513.0,3092.0,1022880.0,40,9.0,303.53
470,626325.0,2958.0,585276.0,30,8.333333333333334,211.74
